"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","978.22","973.44","981.63","973.44","","0.52%"
"11/01/2024","973.15","961.26","987.28","946.83","","1.25%"
"10/01/2024","961.12","897.30","964.60","895.50","","6.96%"
"09/01/2024","898.60","912.77","951.60","890.25","","-1.55%"
"08/01/2024","912.77","942.40","968.60","903.00","","-3.15%"
"07/01/2024","942.50","940.85","960.20","901.97","","0.22%"
"06/01/2024","940.45","919.08","957.20","899.47","","2.41%"
"05/01/2024","918.28","960.27","961.00","881.72","","-4.25%"
"04/01/2024","959.04","979.77","989.60","936.09","","-2.04%"
"03/01/2024","978.97","966.06","988.50","935.46","","1.41%"
"02/01/2024","965.38","929.80","990.78","928.30","","3.92%"
"01/01/2024","929.00","879.00","936.41","873.89","","5.50%"
"12/01/2023","880.58","872.15","902.63","854.61","","1.22%"
"11/01/2023","869.95","895.00","924.98","863.03","","-2.75%"
"10/01/2023","894.55","891.15","953.65","890.45","","0.43%"
"09/01/2023","890.70","852.25","919.93","844.54","","4.57%"
"08/01/2023","851.80","839.25","875.67","837.05","","1.59%"
"07/01/2023","838.45","801.73","843.66","794.00","","4.68%"
"06/01/2023","800.93","808.75","810.98","783.77","","-0.91%"
"05/01/2023","808.30","807.00","815.70","778.13","","0.24%"
"04/01/2023","806.36","794.89","825.59","788.84","","1.50%"
"03/01/2023","794.44","827.67","837.66","782.00","","-3.99%"
"02/01/2023","827.47","796.16","837.39","776.10","","4.02%"
"01/01/2023","795.48","848.25","865.03","794.97","","-6.17%"
"12/01/2022","847.80","890.50","897.40","847.80","","-4.62%"
"11/01/2022","888.85","943.50","958.77","880.03","","-5.75%"
"10/01/2022","943.05","968.01","992.84","920.74","","-2.44%"
"09/01/2022","966.63","897.00","997.47","839.15","","7.82%"
"08/01/2022","896.50","901.10","955.22","873.41","","-0.33%"
"07/01/2022","899.50","916.75","1,061.63","896.38","","-1.83%"
"06/01/2022","916.30","824.21","940.27","807.68","","11.29%"
"05/01/2022","823.38","852.51","872.30","818.53","","-3.26%"
"04/01/2022","851.13","786.78","862.75","775.49","","8.30%"
"03/01/2022","785.88","799.20","818.89","771.50","","-1.52%"
"02/01/2022","798.00","800.72","831.35","783.05","","-0.24%"
"01/01/2022","799.90","852.00","856.82","793.23","","-6.02%"
"12/01/2021","851.10","827.38","876.75","818.50","","2.95%"
"11/01/2021","826.70","813.50","849.25","787.79","","1.66%"
"10/01/2021","813.20","810.83","832.99","800.40","","0.33%"
"09/01/2021","810.53","773.23","816.36","761.85","","4.91%"
"08/01/2021","772.63","756.65","796.13","752.92","","2.17%"
"07/01/2021","756.20","732.30","772.91","727.42","","3.35%"
"06/01/2021","731.70","722.88","757.80","713.62","","1.28%"
"05/01/2021","722.43","710.75","738.17","690.28","","1.71%"
"04/01/2021","710.30","720.45","724.00","693.33","","-1.37%"
"03/01/2021","720.20","723.89","743.36","712.47","","-0.46%"
"02/01/2021","723.51","734.82","740.18","697.39","","-1.51%"
"01/01/2021","734.59","710.50","745.82","692.60","","3.50%"
"12/01/2020","709.75","763.42","763.42","705.49","","-6.70%"
"11/01/2020","760.70","773.30","777.15","747.22","","-1.60%"
"10/01/2020","773.05","785.05","804.70","767.57","","-1.49%"
"09/01/2020","784.77","776.38","791.28","757.43","","1.10%"
"08/01/2020","776.21","756.76","809.00","753.84","","2.61%"
"07/01/2020","756.43","822.99","822.99","751.20","","-8.08%"
"06/01/2020","822.90","799.05","825.24","758.48","","3.07%"
"05/01/2020","798.40","834.70","842.72","798.20","","-4.20%"
"04/01/2020","833.40","855.85","867.89","832.50","","-2.44%"
"03/01/2020","854.23","817.92","878.96","800.11","","4.53%"
"02/01/2020","817.21","800.30","822.50","773.58","","2.24%"
"01/01/2020","799.33","751.95","802.39","749.28","","6.36%"
"12/01/2019","751.50","798.55","809.15","742.88","","-6.43%"
"11/01/2019","803.12","741.58","838.69","732.66","","8.44%"
"10/01/2019","740.60","728.76","742.03","707.92","","1.69%"
"09/01/2019","728.30","721.65","729.30","704.62","","1.04%"
"08/01/2019","720.80","703.58","726.78","702.53","","2.47%"
"07/01/2019","703.40","677.51","704.58","673.83","","3.88%"
"06/01/2019","677.15","709.78","711.01","676.26","","-4.55%"
"05/01/2019","709.46","677.73","715.59","676.40","","4.74%"
"04/01/2019","677.34","680.51","680.91","658.63","","-0.40%"
"03/01/2019","680.05","655.83","686.76","653.91","","3.75%"
"02/01/2019","655.50","655.80","667.71","647.24","","0.01%"
"01/01/2019","655.41","694.00","700.29","652.23","","-5.40%"
"12/01/2018","692.85","671.63","698.47","663.51","","3.20%"
"11/01/2018","671.37","696.01","696.01","664.46","","-3.49%"
"10/01/2018","695.66","657.84","701.10","653.53","","5.81%"
"09/01/2018","657.49","681.63","701.17","656.17","","-3.46%"
"08/01/2018","681.05","637.24","683.81","637.24","","6.90%"
"07/01/2018","637.12","653.94","664.90","636.09","","-2.54%"
"06/01/2018","653.71","630.59","655.91","626.15","","3.70%"
"05/01/2018","630.39","613.36","639.70","613.11","","2.81%"
"04/01/2018","613.18","603.90","614.34","593.46","","1.62%"
"03/01/2018","603.40","594.92","611.32","593.59","","1.46%"
"02/01/2018","594.74","602.30","605.78","586.92","","-1.23%"
"01/01/2018","602.15","615.43","615.43","597.27","","-2.03%"
"12/01/2017","614.65","648.50","657.70","613.40","","-5.00%"
"11/01/2017","647.00","636.45","649.26","625.38","","1.74%"
"10/01/2017","635.95","640.05","642.16","618.72","","-0.56%"
"09/01/2017","639.50","625.83","640.28","612.99","","2.37%"
"08/01/2017","624.70","649.49","655.35","622.74","","-3.76%"
"07/01/2017","649.10","663.83","667.99","643.73","","-2.31%"
"06/01/2017","664.43","672.87","674.58","657.88","","-1.25%"
"05/01/2017","672.85","667.05","682.03","664.58","","0.96%"
"04/01/2017","666.43","659.87","667.95","644.93","","1.10%"
"03/01/2017","659.21","650.25","670.82","647.95","","1.39%"
"02/01/2017","650.18","648.53","651.33","635.75","","0.36%"
"01/01/2017","647.85","669.79","675.53","643.35","","-3.20%"
"12/01/2016","669.29","675.99","679.10","647.13","","-0.92%"
"11/01/2016","675.49","652.50","681.66","644.60","","3.54%"
"10/01/2016","652.40","657.63","672.71","648.47","","-0.78%"
"09/01/2016","657.55","680.59","682.54","653.88","","-3.31%"
"08/01/2016","680.09","655.44","681.88","641.84","","3.86%"
"07/01/2016","654.84","661.90","668.61","645.98","","-1.01%"
"06/01/2016","661.50","692.53","696.78","657.15","","-4.42%"
"05/01/2016","692.07","661.00","700.20","658.06","","4.76%"
"04/01/2016","660.60","669.90","686.02","655.16","","-1.39%"
"03/01/2016","669.90","695.10","698.45","665.92","","-3.76%"
"02/01/2016","696.10","713.60","717.20","684.69","","-2.34%"
"01/01/2016","712.80","709.80","732.97","708.42","","0.70%"
"12/01/2015","707.85","710.70","713.17","689.10","","-0.37%"
"11/01/2015","710.47","691.50","717.80","686.50","","2.79%"
"10/01/2015","691.20","696.10","698.45","670.53","","-0.72%"
"09/01/2015","696.20","693.10","710.20","672.09","","0.52%"
"08/01/2015","692.57","674.50","709.21","672.30","","2.76%"
"07/01/2015","674.00","639.16","674.97","633.60","","5.49%"
"06/01/2015","638.92","618.20","640.35","617.65","","3.45%"
"05/01/2015","617.60","611.90","619.83","592.78","","1.08%"
"04/01/2015","611.00","624.40","625.22","604.38","","-2.08%"
"03/01/2015","624.00","617.36","643.57","615.93","","1.14%"
"02/01/2015","616.97","633.58","633.99","614.60","","-2.51%"
"01/01/2015","632.83","606.90","635.40","606.33","","4.36%"
"12/01/2014","606.40","608.32","623.35","604.58","","-0.25%"
"11/01/2014","607.94","575.42","608.80","575.24","","5.76%"
"10/01/2014","574.82","598.10","600.77","574.13","","-3.84%"
"09/01/2014","597.80","586.76","604.14","582.25","","1.97%"
"08/01/2014","586.26","572.09","596.47","569.68","","2.50%"
"07/01/2014","571.98","552.45","575.55","547.65","","3.56%"
"06/01/2014","552.30","549.53","560.59","547.77","","0.55%"
"05/01/2014","549.28","564.13","569.28","546.78","","-2.60%"
"04/01/2014","563.95","548.50","566.40","543.16","","2.87%"
"03/01/2014","548.22","558.70","577.06","548.00","","-1.87%"
"02/01/2014","558.65","555.70","564.99","545.59","","0.61%"
"01/01/2014","555.27","526.40","557.35","525.60","","5.71%"
"12/01/2013","525.30","532.63","535.67","522.35","","-1.40%"
"11/01/2013","532.77","512.25","533.15","511.61","","4.03%"
"10/01/2013","512.15","504.92","513.50","491.92","","1.42%"
"09/01/2013","504.97","510.85","512.10","491.59","","-1.01%"
"08/01/2013","510.10","513.85","520.40","505.46","","-0.66%"
"07/01/2013","513.50","508.05","517.80","496.10","","1.22%"
"06/01/2013","507.30","501.10","517.52","490.70","","1.52%"
"05/01/2013","499.70","470.95","501.79","468.52","","6.14%"
"04/01/2013","470.80","472.15","479.70","465.65","","-0.13%"
"03/01/2013","471.40","473.75","475.30","470.55","","-0.29%"
"02/01/2013","472.75","471.30","474.40","470.05","","0.40%"
"01/01/2013","470.85","478.71","478.71","469.15","","-1.55%"
"12/01/2012","478.26","480.95","482.40","473.20","","-0.47%"
"11/01/2012","480.50","481.15","485.95","475.40","","-0.04%"
"10/01/2012","480.70","474.70","483.60","469.75","","1.36%"
"09/01/2012","474.25","480.27","481.75","467.00","","-1.16%"
"08/01/2012","479.82","482.75","486.27","473.42","","-0.51%"
"07/01/2012","482.30","500.75","500.75","480.65","","-3.60%"
"06/01/2012","500.30","516.70","522.85","494.00","","-3.09%"
"05/01/2012","516.25","485.05","521.42","480.00","","6.53%"
"04/01/2012","484.60","487.38","490.15","480.95","","-0.72%"
"03/01/2012","488.10","479.70","493.70","477.48","","1.77%"
"02/01/2012","479.60","491.15","491.60","473.42","","-2.40%"
"01/01/2012","491.40","518.70","520.25","483.92","","-5.36%"
"12/01/2011","519.25","515.00","524.70","506.95","","0.74%"
"11/01/2011","515.45","489.75","528.45","489.25","","5.25%"
"10/01/2011","489.75","528.50","535.85","488.85","","-5.95%"
"09/01/2011","520.75","462.30","529.25","459.25","","12.94%"
"08/01/2011","461.10","457.25","477.25","455.73","","0.83%"
"07/01/2011","457.30","466.60","468.65","455.15","","-2.11%"
"06/01/2011","467.15","465.50","475.75","465.52","","0.53%"
"05/01/2011","464.70","460.50","476.05","460.25","","0.96%"
"04/01/2011","460.30","477.00","479.90","458.95","","-3.60%"
"03/01/2011","477.50","474.90","487.95","471.35","","0.58%"
"02/01/2011","474.75","481.50","483.70","467.70","","-1.71%"
"01/01/2011","483.00","466.30","501.05","465.00","","3.26%"
"12/01/2010","467.75","485.50","487.25","467.25","","-3.95%"
"11/01/2010","487.00","492.75","493.25","475.75","","-0.41%"
"10/01/2010","489.00","483.50","496.15","473.80","","1.14%"
"09/01/2010","483.50","502.80","503.05","482.50","","-3.89%"
"08/01/2010","503.05","517.75","519.15","497.55","","-3.49%"
