"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2018","0.9987","1.0085","1.0129","0.9908","","-0.96%"
"10/01/2018","1.0084","0.9801","1.0095","0.9798","","2.70%"
"09/01/2018","0.9819","0.9690","0.9822","0.9542","","1.37%"
"08/01/2018","0.9686","0.9902","0.9986","0.9652","","-2.17%"
"07/01/2018","0.9901","0.9907","1.0070","0.9857","","-0.01%"
"06/01/2018","0.9902","0.9858","0.9994","0.9787","","0.46%"
"05/01/2018","0.9857","0.9909","1.0061","0.9825","","-0.48%"
"04/01/2018","0.9905","0.9536","0.9922","0.9527","","3.89%"
"03/01/2018","0.9534","0.9446","0.9585","0.9338","","0.95%"
"02/01/2018","0.9444","0.9314","0.9471","0.9187","","1.42%"
"01/01/2018","0.9312","0.9745","0.9847","0.9288","","-4.42%"
"12/01/2017","0.9743","0.9836","0.9979","0.9733","","-0.93%"
"11/01/2017","0.9834","0.9976","1.0038","0.9778","","-1.41%"
"10/01/2017","0.9975","0.9682","1.0038","0.9680","","3.05%"
"09/01/2017","0.9680","0.9586","0.9771","0.9420","","0.99%"
"08/01/2017","0.9585","0.9669","0.9773","0.9430","","-0.82%"
"07/01/2017","0.9664","0.9587","0.9728","0.9438","","0.87%"
"06/01/2017","0.9581","0.9677","0.9771","0.9552","","-0.98%"
"05/01/2017","0.9676","0.9942","1.0101","0.9669","","-2.75%"
"04/01/2017","0.9950","1.0025","1.0108","0.9859","","-0.79%"
"03/01/2017","1.0029","1.0058","1.0172","0.9813","","-0.27%"
"02/01/2017","1.0056","0.9893","1.0143","0.9869","","1.66%"
"01/01/2017","0.9892","1.0203","1.0338","0.9859","","-2.81%"
"12/01/2016","1.0178","1.0168","1.0347","1.0020","","0.06%"
"11/01/2016","1.0172","0.9889","1.0207","0.9546","","2.86%"
"10/01/2016","0.9889","0.9724","1.0001","0.9694","","1.80%"
"09/01/2016","0.9714","0.9839","0.9887","0.9638","","-1.24%"
"08/01/2016","0.9836","0.9696","0.9865","0.9535","","1.53%"
"07/01/2016","0.9688","0.9761","0.9955","0.9635","","-0.73%"
