"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2011","5.1788","5.0285","5.3383","4.9908","","2.88%"
"04/01/2011","5.0336","5.2616","5.3032","5.0096","","-4.36%"
"03/01/2011","5.2628","5.3997","5.4260","5.2326","","-2.58%"
"02/01/2011","5.4023","5.4460","5.5541","5.3780","","-0.79%"
"01/01/2011","5.4452","5.5841","5.7869","5.4176","","-2.27%"
"12/01/2010","5.5717","5.7402","5.7477","5.5228","","-2.94%"
"11/01/2010","5.7404","5.3415","5.7476","5.2192","","7.37%"
"10/01/2010","5.3462","5.4693","5.4739","5.2671","","-2.20%"
"09/01/2010","5.4666","5.8673","5.8886","5.4450","","-6.84%"
"08/01/2010","5.8680","5.7060","5.9186","5.5876","","2.72%"
"07/01/2010","5.7125","6.0884","6.1104","5.6840","","-6.16%"
"06/01/2010","6.0875","6.0464","6.2648","5.9666","","0.69%"
"05/01/2010","6.0459","5.5790","6.1273","5.5773","","8.02%"
"04/01/2010","5.5970","5.5123","5.6762","5.4368","","1.58%"
"03/01/2010","5.5100","5.4616","5.6099","5.3848","","0.89%"
"02/01/2010","5.4616","5.3696","5.5370","5.3080","","1.71%"
"01/01/2010","5.3697","5.1944","5.3711","5.1022","","3.31%"
"12/01/2009","5.1977","4.9590","5.2351","4.9146","","4.83%"
"11/01/2009","4.9582","5.0588","5.0897","4.9129","","-1.92%"
"10/01/2009","5.0553","5.0875","5.1426","4.9425","","-0.61%"
"09/01/2009","5.0865","5.1948","5.2520","5.0138","","-2.07%"
"08/01/2009","5.1942","5.2182","5.2991","5.1518","","-0.60%"
"07/01/2009","5.2257","5.3073","5.3851","5.2059","","-1.51%"
"06/01/2009","5.3057","5.2741","5.4170","5.1945","","0.84%"
"05/01/2009","5.2617","5.6311","5.6377","5.2543","","-6.56%"
"04/01/2009","5.6309","5.6222","5.7810","5.4831","","0.16%"
"03/01/2009","5.6218","5.8996","5.9820","5.4225","","-4.40%"
"02/01/2009","5.8803","5.8343","5.9543","5.6906","","0.82%"
"01/01/2009","5.8323","5.3289","5.8370","5.2958","","9.54%"
"12/01/2008","5.3243","5.8595","5.9369","5.0601","","-9.25%"
"11/01/2008","5.8670","5.8427","6.0134","5.6756","","0.24%"
"10/01/2008","5.8528","5.2815","6.0432","5.2638","","10.63%"
"09/01/2008","5.2902","5.0738","5.3724","5.0183","","4.04%"
"08/01/2008","5.0847","4.7833","5.1210","4.7735","","6.32%"
"07/01/2008","4.7823","4.7333","4.8075","4.6506","","1.04%"
"06/01/2008","4.7332","4.7938","4.8727","4.7076","","-1.32%"
"05/01/2008","4.7965","4.7807","4.8822","4.7166","","0.37%"
"04/01/2008","4.7786","4.7314","4.8101","4.6580","","1.08%"
"03/01/2008","4.7275","4.9029","4.9189","4.6871","","-3.65%"
"02/01/2008","4.9068","5.0152","5.1602","4.8884","","-2.14%"
"01/01/2008","5.0142","5.1054","5.1863","4.9875","","-1.87%"
"12/01/2007","5.1100","5.0926","5.2137","5.0464","","0.26%"
"11/01/2007","5.0967","5.1467","5.1741","4.9781","","-0.98%"
"10/01/2007","5.1473","5.2203","5.3161","5.1366","","-1.47%"
"09/01/2007","5.2241","5.4643","5.4965","5.2192","","-4.45%"
"08/01/2007","5.4674","5.4394","5.5695","5.3742","","0.46%"
"07/01/2007","5.4421","5.4944","5.5015","5.3704","","-0.95%"
"06/01/2007","5.4942","5.5350","5.6147","5.4918","","-0.76%"
"05/01/2007","5.5362","5.4603","5.5559","5.4481","","1.44%"
