"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2020","7.7517","7.7515","7.7578","7.7497","","0.01%"
"03/01/2020","7.7508","7.7934","7.7957","7.7504","","-0.57%"
"02/01/2020","7.7949","7.7650","7.7990","7.7600","","0.39%"
"01/01/2020","7.7648","7.7904","7.7955","7.7622","","-0.32%"
"12/01/2019","7.7900","7.8278","7.8312","7.7826","","-0.49%"
"11/01/2019","7.8280","7.8372","7.8400","7.8198","","-0.12%"
"10/01/2019","7.8371","7.8383","7.8461","7.8338","","-0.02%"
"09/01/2019","7.8384","7.8431","7.8454","7.8164","","-0.06%"
"08/01/2019","7.8434","7.8280","7.8485","7.8169","","0.20%"
"07/01/2019","7.8278","7.8127","7.8295","7.7824","","0.19%"
"06/01/2019","7.8126","7.8397","7.8446","7.8023","","-0.33%"
"05/01/2019","7.8381","7.8446","7.8503","7.8382","","-0.08%"
"04/01/2019","7.8444","7.8499","7.8502","7.8302","","-0.06%"
"03/01/2019","7.8495","7.8498","7.8505","7.8451","","0.00%"
"02/01/2019","7.8498","7.8467","7.8500","7.8435","","0.04%"
"01/01/2019","7.8466","7.8313","7.8473","7.8274","","0.19%"
"12/01/2018","7.8315","7.8242","7.8351","7.8012","","0.10%"
"11/01/2018","7.8234","7.8411","7.8439","7.8126","","-0.22%"
"10/01/2018","7.8410","7.8281","7.8477","7.8232","","0.17%"
"09/01/2018","7.8279","7.8491","7.8502","7.7929","","-0.27%"
"08/01/2018","7.8489","7.8491","7.8505","7.8479","","0.00%"
"07/01/2018","7.8489","7.8463","7.8502","7.8419","","0.03%"
"06/01/2018","7.8462","7.8434","7.8502","7.8432","","0.04%"
"05/01/2018","7.8431","7.8485","7.8503","7.8410","","-0.06%"
"04/01/2018","7.8481","7.8486","7.8503","7.8414","","-0.01%"
"03/01/2018","7.8485","7.8260","7.8496","7.8252","","0.28%"
"02/01/2018","7.8262","7.8231","7.8299","7.8174","","0.05%"
"01/01/2018","7.8226","7.8128","7.8256","7.8128","","0.13%"
"12/01/2017","7.8126","7.8098","7.8292","7.8039","","0.04%"
"11/01/2017","7.8097","7.8014","7.8132","7.7920","","0.11%"
"10/01/2017","7.8009","7.8112","7.8128","7.7983","","-0.13%"
"09/01/2017","7.8111","7.8259","7.8263","7.7934","","-0.19%"
"08/01/2017","7.8258","7.8102","7.8280","7.8095","","0.20%"
"07/01/2017","7.8100","7.8067","7.8144","7.8011","","0.04%"
"06/01/2017","7.8068","7.7921","7.8086","7.7877","","0.20%"
"05/01/2017","7.7915","7.7783","7.7953","7.7769","","0.18%"
"04/01/2017","7.7778","7.7715","7.7852","7.7684","","0.09%"
"03/01/2017","7.7708","7.7624","7.7730","7.7594","","0.11%"
"02/01/2017","7.7621","7.7590","7.7635","7.7558","","0.04%"
"01/01/2017","7.7588","7.7552","7.7600","7.7531","","0.06%"
"12/01/2016","7.7541","7.7565","7.7684","7.7529","","-0.03%"
"11/01/2016","7.7563","7.7552","7.7593","7.7530","","0.02%"
"10/01/2016","7.7549","7.7558","7.7610","7.7533","","-0.01%"
"09/01/2016","7.7556","7.7571","7.7596","7.7524","","-0.01%"
"08/01/2016","7.7565","7.7577","7.7617","7.7524","","-0.01%"
"07/01/2016","7.7571","7.7592","7.7616","7.7531","","-0.02%"
"06/01/2016","7.7590","7.7714","7.7722","7.7558","","-0.15%"
"05/01/2016","7.7708","7.7573","7.7716","7.7568","","0.18%"
"04/01/2016","7.7568","7.7569","7.7617","7.7531","","0.00%"
