Country,Quarter,Liabilities
AT,2002-Q3,79503.21299999999
AU,2002-Q3,298924.145
BE,2002-Q3,692670.713
CA,2002-Q3,125043.198
CH,2002-Q3,1302908.028
DE,2002-Q3,2150391.805
DK,2002-Q3,145160.888
ES,2002-Q3,275418.042
FI,2002-Q3,92167.252
FR,2002-Q3,1264889.282
GB,2002-Q3,4568335.987
HK,2002-Q3,235707.2
IE,2002-Q3,460494.706
IT,2002-Q3,247151.774
JP,2002-Q3,979222.941
NL,2002-Q3,746703.505
SE,2002-Q3,202358.7
US,2002-Q3,2652472.417
AT,2002-Q4,72065.08600000001
AU,2002-Q4,319828.82
BE,2002-Q4,709679.007
BR,2002-Q4,74168.0
CA,2002-Q4,120199.847
CH,2002-Q4,1466134.094
CL,2002-Q4,16928.0
DE,2002-Q4,2134821.012
DK,2002-Q4,120297.191
ES,2002-Q4,281823.05700000003
FI,2002-Q4,35557.876
FR,2002-Q4,1368287.435
GB,2002-Q4,4945302.291
HK,2002-Q4,243494.134
IE,2002-Q4,484555.245
IT,2002-Q4,285776.853
JP,2002-Q4,1196913.451
NL,2002-Q4,829669.423
SE,2002-Q4,233007.452
US,2002-Q4,2830275.439
AT,2003-Q1,91812.205
AU,2003-Q1,347326.738
BE,2003-Q1,765579.439
BR,2003-Q1,86481.832
CA,2003-Q1,149231.242
CH,2003-Q1,1415356.563
CL,2003-Q1,17504.532
DE,2003-Q1,2419810.6229999997
DK,2003-Q1,270700.127
ES,2003-Q1,332442.54199999996
FI,2003-Q1,99541.306
FR,2003-Q1,1434924.992
GB,2003-Q1,5357738.515000001
HK,2003-Q1,236362.451
IE,2003-Q1,441111.939
IT,2003-Q1,344918.958
JP,2003-Q1,953434.392
NL,2003-Q1,876104.342
SE,2003-Q1,265855.219
US,2003-Q1,4057008.943
AT,2003-Q2,85093.986
AU,2003-Q2,387507.651
BE,2003-Q2,823752.51
BR,2003-Q2,73231.50200000001
CA,2003-Q2,106990.211
CH,2003-Q2,1483075.762
CL,2003-Q2,20263.477
DE,2003-Q2,2424755.156
DK,2003-Q2,184012.564
ES,2003-Q2,342593.141
FI,2003-Q2,101062.617
FR,2003-Q2,1483221.329
GB,2003-Q2,5733684.768
HK,2003-Q2,232298.237
IE,2003-Q2,500699.482
IT,2003-Q2,333274.80700000003
JP,2003-Q2,1166209.541
NL,2003-Q2,934150.945
SE,2003-Q2,310381.363
US,2003-Q2,3342458.39
AT,2003-Q3,93793.257
AU,2003-Q3,357746.339
BE,2003-Q3,870323.571
BR,2003-Q3,68932.523
CA,2003-Q3,132678.938
CH,2003-Q3,1416682.843
CL,2003-Q3,19070.666
DE,2003-Q3,2428396.233
DK,2003-Q3,167761.416
ES,2003-Q3,382881.26
FI,2003-Q3,33030.907
FR,2003-Q3,1432996.723
GB,2003-Q3,5397081.216
HK,2003-Q3,236519.478
IE,2003-Q3,644959.029
IT,2003-Q3,333330.155
JP,2003-Q3,970353.471
NL,2003-Q3,867724.674
SE,2003-Q3,245349.782
US,2003-Q3,3555962.278
AT,2003-Q4,95477.637
AU,2003-Q4,626704.942
BE,2003-Q4,1066025.856
BR,2003-Q4,63969.782
CA,2003-Q4,145671.229
CH,2003-Q4,1528826.925
CL,2003-Q4,4819.355
DE,2003-Q4,2532596.586
DK,2003-Q4,236544.497
ES,2003-Q4,406452.609
FI,2003-Q4,71336.638
FR,2003-Q4,1611214.822
GB,2003-Q4,6009100.835
HK,2003-Q4,290941.947
IE,2003-Q4,739856.882
IT,2003-Q4,364965.194
JP,2003-Q4,1009109.389
NL,2003-Q4,1022608.497
SE,2003-Q4,260807.095
US,2003-Q4,3557873.308
AT,2004-Q1,100174.999
AU,2004-Q1,552939.965
BE,2004-Q1,1119280.193
BR,2004-Q1,101367.177
CA,2004-Q1,121744.302
CH,2004-Q1,1721624.047
CL,2004-Q1,11511.801
DE,2004-Q1,2787477.8449999997
DK,2004-Q1,211290.207
ES,2004-Q1,388752.839
FI,2004-Q1,89650.05500000001
FR,2004-Q1,1945120.396
GB,2004-Q1,6908635.016
HK,2004-Q1,303078.97000000003
IE,2004-Q1,676445.468
IT,2004-Q1,391641.882
JP,2004-Q1,1142293.944
NL,2004-Q1,1029260.856
SE,2004-Q1,328491.708
US,2004-Q1,4059682.685
AT,2004-Q2,98449.061
AU,2004-Q2,515244.265
BE,2004-Q2,1049445.644
BR,2004-Q2,70748.447
CA,2004-Q2,150710.423
CH,2004-Q2,1581002.027
CL,2004-Q2,12989.625
DE,2004-Q2,2408067.736
DK,2004-Q2,231871.219
ES,2004-Q2,449178.231
FI,2004-Q2,105996.938
FR,2004-Q2,1925933.241
GB,2004-Q2,6372560.294
HK,2004-Q2,326441.97000000003
IE,2004-Q2,766403.791
IT,2004-Q2,354889.153
JP,2004-Q2,1233138.167
NL,2004-Q2,1050738.48
SE,2004-Q2,310657.175
US,2004-Q2,3948412.846
AT,2004-Q3,107765.173
AU,2004-Q3,522517.517
BE,2004-Q3,1049657.214
BR,2004-Q3,60294.019
CA,2004-Q3,142109.281
CH,2004-Q3,1485799.774
CL,2004-Q3,16678.197
DE,2004-Q3,2669909.388
DK,2004-Q3,249095.48
ES,2004-Q3,398453.391
FI,2004-Q3,160497.835
FR,2004-Q3,1800189.293
GB,2004-Q3,6929717.65
HK,2004-Q3,293882.0
IE,2004-Q3,1270089.382
IT,2004-Q3,352398.94600000005
JP,2004-Q3,1045952.863
NL,2004-Q3,1128755.442
SE,2004-Q3,302741.567
US,2004-Q3,4043558.445
AT,2004-Q4,105881.951
AU,2004-Q4,656687.5279999999
BE,2004-Q4,1166227.781
BR,2004-Q4,61805.848
CA,2004-Q4,134808.073
CH,2004-Q4,1706679.381
CL,2004-Q4,24006.285
DE,2004-Q4,2804302.422
DK,2004-Q4,274478.332
ES,2004-Q4,433199.7780000001
FI,2004-Q4,131483.046
FR,2004-Q4,2240332.6119999997
GB,2004-Q4,7335188.498
HK,2004-Q4,311882.07
IE,2004-Q4,1240033.632
IT,2004-Q4,417373.122
JP,2004-Q4,1142189.112
NL,2004-Q4,1220807.979
SE,2004-Q4,402562.164
US,2004-Q4,4659273.8
AT,2005-Q1,114562.212
AU,2005-Q1,574230.515
BE,2005-Q1,1441300.975
BR,2005-Q1,76593.327
CA,2005-Q1,138353.497
CH,2005-Q1,1660246.293
CL,2005-Q1,18096.39
DE,2005-Q1,3091672.647
DK,2005-Q1,352579.038
ES,2005-Q1,434783.849
FI,2005-Q1,210681.891
FR,2005-Q1,2230886.612
GB,2005-Q1,8076072.226
HK,2005-Q1,257890.786
IE,2005-Q1,1308452.893
IT,2005-Q1,433974.195
JP,2005-Q1,1494908.694
NL,2005-Q1,1369434.477
SE,2005-Q1,395791.729
US,2005-Q1,3982601.564
AT,2005-Q2,329380.175
AU,2005-Q2,594585.7000000001
BE,2005-Q2,1240399.094
BR,2005-Q2,66220.245
CA,2005-Q2,145128.948
CH,2005-Q2,1804272.872
CL,2005-Q2,18924.556
DE,2005-Q2,2695809.284
DK,2005-Q2,303065.233
ES,2005-Q2,421664.253
FI,2005-Q2,93189.83
FR,2005-Q2,2290797.465
GB,2005-Q2,7857068.229
HK,2005-Q2,297988.653
IE,2005-Q2,1283075.387
IT,2005-Q2,431243.389
JP,2005-Q2,1428813.705
NL,2005-Q2,1168254.694
SE,2005-Q2,480649.103
US,2005-Q2,4841786.268
AT,2005-Q3,235443.551
AU,2005-Q3,590465.3609999999
BE,2005-Q3,1330421.716
BR,2005-Q3,66091.177
CA,2005-Q3,200507.251
CH,2005-Q3,1906889.855
CL,2005-Q3,17317.852
DE,2005-Q3,2732811.0179999997
DK,2005-Q3,342758.562
ES,2005-Q3,453097.362
FI,2005-Q3,83846.174
FR,2005-Q3,2218403.442
GB,2005-Q3,7844337.93
HK,2005-Q3,286910.115
IE,2005-Q3,1357558.033
IT,2005-Q3,425020.623
JP,2005-Q3,1383802.153
NL,2005-Q3,1249660.406
SE,2005-Q3,366018.928
US,2005-Q3,5058025.076
AT,2005-Q4,232628.215
AU,2005-Q4,638734.651
BE,2005-Q4,1287898.857
BR,2005-Q4,80888.179
CA,2005-Q4,185421.188
CH,2005-Q4,1686470.206
CL,2005-Q4,20328.201
DE,2005-Q4,2559406.818
DK,2005-Q4,275130.78500000003
ES,2005-Q4,459526.274
FI,2005-Q4,89032.572
FR,2005-Q4,2780136.014
GB,2005-Q4,7666920.001
HK,2005-Q4,325477.089
IE,2005-Q4,1446763.367
IT,2005-Q4,394777.774
JP,2005-Q4,1455457.598
NL,2005-Q4,1130138.152
SE,2005-Q4,365651.694
US,2005-Q4,4834528.42
AT,2006-Q1,282838.418
AU,2006-Q1,629550.564
BE,2006-Q1,1358057.686
BR,2006-Q1,91047.072
CA,2006-Q1,198354.596
CH,2006-Q1,2111136.029
CL,2006-Q1,25651.325
DE,2006-Q1,3000200.211
DK,2006-Q1,314964.043
ES,2006-Q1,483401.39
FI,2006-Q1,115622.125
FR,2006-Q1,2991668.3090000004
GB,2006-Q1,9199164.805
HK,2006-Q1,297657.75299999997
IE,2006-Q1,1425758.075
IT,2006-Q1,484534.473
JP,2006-Q1,1270406.868
NL,2006-Q1,1568439.559
SE,2006-Q1,445575.936
US,2006-Q1,5487433.332
AT,2006-Q2,267818.92799999996
AU,2006-Q2,722620.0499999999
BE,2006-Q2,1331269.618
BR,2006-Q2,81064.12
CA,2006-Q2,238978.908
CH,2006-Q2,2049309.583
CL,2006-Q2,19555.938
DE,2006-Q2,2965357.955
DK,2006-Q2,352126.35
ES,2006-Q2,429714.74
FI,2006-Q2,117687.763
FR,2006-Q2,3040164.713
GB,2006-Q2,8959431.976
HK,2006-Q2,325297.234
IE,2006-Q2,1626497.088
IT,2006-Q2,489554.361
JP,2006-Q2,1492222.425
NL,2006-Q2,1344845.675
SE,2006-Q2,450498.559
US,2006-Q2,6296178.299
AT,2006-Q3,273270.434
AU,2006-Q3,756403.638
BE,2006-Q3,1326830.216
BR,2006-Q3,92154.824
CA,2006-Q3,214614.309
CH,2006-Q3,2110706.916
CL,2006-Q3,17519.214
DE,2006-Q3,3012109.83
DK,2006-Q3,511151.9609999999
ES,2006-Q3,458834.001
FI,2006-Q3,91936.577
FR,2006-Q3,3486834.865
GB,2006-Q3,9039627.335
HK,2006-Q3,363482.296
IE,2006-Q3,1668345.371
IT,2006-Q3,555006.004
JP,2006-Q3,1316667.094
NL,2006-Q3,1499968.345
SE,2006-Q3,437756.542
US,2006-Q3,6044208.755
AT,2006-Q4,276704.06700000004
AU,2006-Q4,815703.701
BE,2006-Q4,1663997.136
BR,2006-Q4,109627.242
CA,2006-Q4,184051.121
CH,2006-Q4,1931004.962
CL,2006-Q4,21287.297
DE,2006-Q4,3040167.924
DK,2006-Q4,450385.581
ES,2006-Q4,500956.1839999999
FI,2006-Q4,171947.857
FR,2006-Q4,3481035.819
GB,2006-Q4,9397670.484
HK,2006-Q4,364841.773
IE,2006-Q4,1964090.107
IT,2006-Q4,573532.2189999999
JP,2006-Q4,1279235.513
NL,2006-Q4,1699693.781
SE,2006-Q4,426458.555
US,2006-Q4,6461750.363
AT,2007-Q1,295034.736
AU,2007-Q1,851545.9600000001
BE,2007-Q1,1598675.789
BR,2007-Q1,198307.406
CA,2007-Q1,236782.55
CH,2007-Q1,2937941.129
CL,2007-Q1,10230.328
DE,2007-Q1,3310809.708
DK,2007-Q1,407484.98
ES,2007-Q1,530110.331
FI,2007-Q1,159479.8
FR,2007-Q1,4268978.229
GB,2007-Q1,11728780.497
HK,2007-Q1,340651.16099999996
IE,2007-Q1,2045703.795
IT,2007-Q1,655678.6989999999
JP,2007-Q1,1220393.272
NL,2007-Q1,1900457.864
SE,2007-Q1,539809.691
US,2007-Q1,7232551.437
AT,2007-Q2,313852.19299999997
AU,2007-Q2,939317.819
BE,2007-Q2,1865207.078
BR,2007-Q2,196090.621
CA,2007-Q2,264185.63300000003
CH,2007-Q2,2364550.398
CL,2007-Q2,23970.032
DE,2007-Q2,3400725.737
DK,2007-Q2,391424.287
ES,2007-Q2,534827.2189999999
FI,2007-Q2,78062.272
FR,2007-Q2,4205748.184
GB,2007-Q2,11015663.05
HK,2007-Q2,413393.707
IE,2007-Q2,2197121.574
IT,2007-Q2,759188.745
JP,2007-Q2,1252728.76
NL,2007-Q2,1903522.36
SE,2007-Q2,433046.654
US,2007-Q2,7360134.039
AT,2007-Q3,631712.682
AU,2007-Q3,982621.02
BE,2007-Q3,1806813.342
BR,2007-Q3,245609.488
CA,2007-Q3,457286.416
CH,2007-Q3,2534356.763
CL,2007-Q3,18985.414
DE,2007-Q3,3742508.675
DK,2007-Q3,449373.398
ES,2007-Q3,543175.307
FI,2007-Q3,129459.135
FR,2007-Q3,6447828.36
GB,2007-Q3,12370161.912
HK,2007-Q3,452223.601
IE,2007-Q3,2251862.786
IT,2007-Q3,704311.796
JP,2007-Q3,1323785.441
NL,2007-Q3,2177449.9620000003
SE,2007-Q3,555256.646
US,2007-Q3,7130300.936
AT,2007-Q4,650230.573
AU,2007-Q4,1035419.694
BE,2007-Q4,2088782.807
BR,2007-Q4,174562.334
CA,2007-Q4,483492.638
CH,2007-Q4,3057280.871
CL,2007-Q4,19652.794
DE,2007-Q4,3408203.243
DK,2007-Q4,527143.182
ES,2007-Q4,709257.698
FI,2007-Q4,200224.941
FR,2007-Q4,5818850.274999999
GB,2007-Q4,12967951.055
HK,2007-Q4,532734.09
IE,2007-Q4,2413934.784
IT,2007-Q4,755809.8400000001
JP,2007-Q4,1420181.903
NL,2007-Q4,2213258.891
SE,2007-Q4,504157.037
US,2007-Q4,7664999.113
AT,2008-Q1,763578.625
AU,2008-Q1,1209511.441
BE,2008-Q1,2097472.806
BR,2008-Q1,269106.998
CA,2008-Q1,610033.936
CH,2008-Q1,2791067.481
CL,2008-Q1,30684.961
DE,2008-Q1,4339045.522
DK,2008-Q1,567535.325
ES,2008-Q1,847908.882
FI,2008-Q1,236983.124
FR,2008-Q1,6223945.410999999
GB,2008-Q1,14064503.735
HK,2008-Q1,511853.953
IE,2008-Q1,2751477.275
IT,2008-Q1,799828.766
JP,2008-Q1,1737174.412
NL,2008-Q1,2702272.081
SE,2008-Q1,638418.993
US,2008-Q1,8504468.412
AT,2008-Q2,816086.765
AU,2008-Q2,1258548.536
BE,2008-Q2,2321950.245
BR,2008-Q2,200491.212
CA,2008-Q2,464183.568
CH,2008-Q2,2157802.532
CL,2008-Q2,34519.488
DE,2008-Q2,3848366.49
DK,2008-Q2,603327.228
ES,2008-Q2,822406.063
FI,2008-Q2,271476.037
FR,2008-Q2,6039978.462
GB,2008-Q2,10898308.439
HK,2008-Q2,494533.704
IE,2008-Q2,2648947.907
IT,2008-Q2,877385.024
JP,2008-Q2,1365703.233
NL,2008-Q2,2455106.367
SE,2008-Q2,551364.266
US,2008-Q2,7123809.675
AT,2008-Q3,708665.725
