"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","11.0153","10.8953","11.0390","10.8906","","1.20%"
"11/01/2024","10.8844","10.6970","11.1217","10.6602","","2.31%"
"10/01/2024","10.6384","10.2142","10.7052","10.2062","","4.76%"
"09/01/2024","10.1554","10.2626","10.4140","10.0375","","-1.05%"
"08/01/2024","10.2629","10.6924","10.7456","10.1265","","-3.88%"
"07/01/2024","10.6774","10.5927","10.8699","10.4173","","0.82%"
"06/01/2024","10.5908","10.5262","10.6631","10.2822","","0.73%"
"05/01/2024","10.5143","11.0183","11.0500","10.4949","","-4.57%"
"04/01/2024","11.0176","10.6615","11.0319","10.4970","","3.44%"
"03/01/2024","10.6508","10.3748","10.7425","10.1432","","2.74%"
"02/01/2024","10.3668","10.3903","10.6330","10.2484","","-0.20%"
"01/01/2024","10.3877","10.0668","10.5200","10.0485","","3.19%"
"12/01/2023","10.0670","10.4956","10.5235","9.9061","","-4.12%"
"11/01/2023","10.4994","11.1756","11.2494","10.2732","","-5.99%"
"10/01/2023","11.1683","10.9201","11.2274","10.8476","","2.28%"
"09/01/2023","10.9197","10.9551","11.2780","10.8175","","-0.26%"
"08/01/2023","10.9484","10.5240","11.1002","10.5077","","4.09%"
"07/01/2023","10.5178","10.7965","10.9922","10.1657","","-2.41%"
"06/01/2023","10.7780","10.8566","10.9469","10.5596","","-0.66%"
"05/01/2023","10.8493","10.2639","10.9586","10.1325","","5.84%"
"04/01/2023","10.2505","10.4001","10.5638","10.2250","","-1.21%"
"03/01/2023","10.3761","10.4700","10.7801","10.2120","","-0.83%"
"02/01/2023","10.4629","10.4643","10.6739","10.2461","","0.05%"
"01/01/2023","10.4580","10.4232","10.7500","10.1748","","0.48%"
"12/01/2022","10.4078","10.4999","10.5526","10.1450","","-0.79%"
"11/01/2022","10.4905","11.0340","11.2422","10.3034","","-4.83%"
"10/01/2022","11.0227","11.1121","11.4804","10.8188","","-0.39%"
"09/01/2022","11.0660","10.6569","11.4973","10.4129","","3.88%"
"08/01/2022","10.6528","10.1776","10.7645","9.9993","","5.07%"
"07/01/2022","10.1386","10.2235","10.6894","10.1277","","-0.79%"
"06/01/2022","10.2189","9.7625","10.3464","9.6745","","4.83%"
"05/01/2022","9.7477","9.8018","10.1944","9.7185","","-0.73%"
"04/01/2022","9.8196","9.3965","9.9091","9.3375","","4.56%"
"03/01/2022","9.3915","9.4931","10.0706","9.2287","","-0.98%"
"02/01/2022","9.4849","9.3194","9.6447","9.0603","","1.79%"
"01/01/2022","9.3182","9.0541","9.4810","8.8975","","3.09%"
"12/01/2021","9.0392","9.0225","9.1812","8.9937","","0.21%"
"11/01/2021","9.0200","8.5960","9.1869","8.5053","","5.02%"
"10/01/2021","8.5887","8.7599","8.8282","8.5054","","-1.94%"
"09/01/2021","8.7585","8.6250","8.8174","8.5266","","1.56%"
"08/01/2021","8.6237","8.5984","8.8549","8.5618","","0.45%"
"07/01/2021","8.5847","8.5568","8.7349","8.5191","","0.38%"
"06/01/2021","8.5522","8.2975","8.6441","8.2347","","3.09%"
"05/01/2021","8.2960","8.4662","8.5284","8.2452","","-2.02%"
"04/01/2021","8.4672","8.7322","8.7633","8.3162","","-2.99%"
"03/01/2021","8.7282","8.4393","8.7654","8.3541","","3.49%"
"02/01/2021","8.4341","8.3380","8.4863","8.2053","","0.90%"
"01/01/2021","8.3589","8.2130","8.4409","8.1245","","1.75%"
"12/01/2020","8.2148","8.5701","8.5940","8.1484","","-4.17%"
"11/01/2020","8.5725","8.9089","8.9586","8.4436","","-3.49%"
"10/01/2020","8.8823","8.9570","8.9992","8.6884","","-0.81%"
"09/01/2020","8.9544","8.6466","9.1676","8.5942","","3.58%"
"08/01/2020","8.6449","8.7707","8.8195","8.6053","","-1.40%"
"07/01/2020","8.7680","9.3241","9.3811","8.6416","","-5.91%"
