"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","150.20","149.63","150.75","149.08","","0.30%"
"11/01/2024","149.75","152.53","156.51","149.62","","-1.50%"
"10/01/2024","152.03","143.60","153.65","143.27","","5.86%"
"09/01/2024","143.62","146.18","147.20","139.56","","-1.74%"
"08/01/2024","146.16","149.97","150.89","141.66","","-2.55%"
"07/01/2024","149.98","160.88","162.01","149.60","","-6.76%"
"06/01/2024","160.86","157.33","161.30","154.56","","2.26%"
"05/01/2024","157.31","157.74","158.04","151.87","","-0.31%"
"04/01/2024","157.80","151.32","160.04","150.81","","4.29%"
"03/01/2024","151.31","149.98","151.98","146.48","","0.89%"
"02/01/2024","149.98","146.90","150.90","145.89","","2.11%"
"01/01/2024","146.88","140.84","148.82","140.81","","4.13%"
"12/01/2023","141.06","148.21","148.35","140.25","","-4.81%"
"11/01/2023","148.19","151.71","151.95","146.66","","-2.29%"
"10/01/2023","151.67","149.48","151.76","147.38","","1.55%"
"09/01/2023","149.35","145.54","149.74","144.44","","2.62%"
"08/01/2023","145.53","142.30","147.38","141.52","","2.28%"
"07/01/2023","142.28","144.37","144.96","137.24","","-1.41%"
"06/01/2023","144.32","139.35","145.08","138.46","","3.57%"
"05/01/2023","139.34","136.29","140.95","133.50","","2.25%"
"04/01/2023","136.28","132.99","136.57","130.63","","2.63%"
"03/01/2023","132.79","136.22","137.92","129.65","","-2.50%"
"02/01/2023","136.20","130.09","136.95","128.08","","4.70%"
"01/01/2023","130.09","131.13","134.79","127.22","","-0.78%"
"12/01/2022","131.11","138.07","138.18","130.57","","-5.01%"
"11/01/2022","138.03","148.71","148.83","137.49","","-7.18%"
"10/01/2022","148.71","144.61","151.96","143.52","","2.74%"
"09/01/2022","144.75","138.97","145.91","138.92","","4.17%"
"08/01/2022","138.96","133.23","139.08","130.40","","4.33%"
"07/01/2022","133.19","135.73","139.40","132.51","","-1.87%"
"06/01/2022","135.73","128.65","137.01","128.63","","5.48%"
"05/01/2022","128.68","129.77","131.36","126.36","","-0.89%"
"04/01/2022","129.83","121.67","131.26","121.67","","6.72%"
"03/01/2022","121.66","115.00","125.11","114.64","","5.80%"
"02/01/2022","114.99","115.13","116.35","114.15","","-0.10%"
"01/01/2022","115.10","115.10","116.36","113.47","","0.02%"
"12/01/2021","115.08","113.18","115.21","112.56","","1.72%"
"11/01/2021","113.13","113.97","115.53","112.53","","-0.76%"
"10/01/2021","114.00","111.28","114.71","110.82","","2.45%"
"09/01/2021","111.27","110.03","112.08","109.11","","1.14%"
"08/01/2021","110.02","109.69","110.81","108.72","","0.29%"
"07/01/2021","109.70","111.11","111.67","109.07","","-1.26%"
"06/01/2021","111.10","109.57","111.12","109.18","","1.42%"
"05/01/2021","109.54","109.26","110.21","108.33","","0.25%"
"04/01/2021","109.27","110.75","110.86","107.47","","-1.29%"
"03/01/2021","110.70","106.57","110.97","106.36","","3.87%"
"02/01/2021","106.58","104.68","106.70","104.41","","1.82%"
"01/01/2021","104.68","103.25","104.95","102.58","","1.39%"
"12/01/2020","103.24","104.32","104.76","102.88","","-0.99%"
"11/01/2020","104.27","104.57","105.69","103.17","","-0.35%"
"10/01/2020","104.64","105.46","106.12","104.03","","-0.77%"
"09/01/2020","105.45","105.93","106.57","104.00","","-0.42%"
"08/01/2020","105.89","105.89","107.06","105.10","","0.01%"
"07/01/2020","105.88","107.93","108.17","104.18","","-1.89%"
"06/01/2020","107.92","107.74","109.86","106.07","","0.14%"
"05/01/2020","107.77","107.18","108.09","105.98","","0.56%"
"04/01/2020","107.17","107.54","109.39","106.36","","-0.33%"
"03/01/2020","107.53","107.39","111.72","101.18","","-0.50%"
"02/01/2020","108.07","108.41","112.22","107.50","","-0.29%"
"01/01/2020","108.38","108.63","110.29","107.64","","-0.21%"
"12/01/2019","108.61","109.54","109.74","108.43","","-0.82%"
"11/01/2019","109.51","108.07","109.68","107.89","","1.38%"
"10/01/2019","108.02","108.08","109.29","106.48","","-0.04%"
"09/01/2019","108.06","106.25","108.48","105.74","","1.67%"
"08/01/2019","106.29","108.79","109.32","104.46","","-2.25%"
