Country,Quarter,Interest Rate (%)
NL,2004Q2,1.0
NL,2004Q3,1.0
NL,2004Q4,1.0
NL,2005Q1,1.0
NL,2005Q2,1.0
NL,2005Q3,1.0
NL,2005Q4,1.25
NL,2006Q1,1.5
NL,2006Q2,1.75
NL,2006Q3,2.0
NL,2006Q4,2.5
NL,2007Q1,2.75
NL,2007Q2,3.0
NL,2007Q3,3.0
NL,2007Q4,3.0
NL,2008Q1,3.0
NL,2008Q2,3.0
NL,2008Q3,3.0
NL,2008Q4,3.0
NL,2009Q1,1.0
NL,2009Q2,0.25
NL,2009Q3,0.25
NL,2009Q4,0.25
NL,2010Q1,0.25
NL,2010Q2,0.25
NL,2010Q3,0.25
NL,2010Q4,0.25
NL,2011Q1,0.25
NL,2011Q2,0.5
NL,2011Q3,0.75
NL,2011Q4,0.25
NL,2012Q1,0.25
NL,2012Q2,0.25
NL,2012Q3,0.0
NL,2012Q4,0.0
NL,2013Q1,0.0
NL,2013Q2,0.0
NL,2013Q3,0.0
NL,2013Q4,0.0
NL,2014Q1,0.0
NL,2014Q2,-0.1
NL,2014Q3,-0.2
NL,2014Q4,-0.2
NL,2015Q1,-0.2
NL,2015Q2,-0.2
NL,2015Q3,-0.2
NL,2015Q4,-0.3
NL,2016Q1,-0.4
NL,2016Q2,-0.4
NL,2016Q3,-0.4
NL,2016Q4,-0.4
NL,2017Q1,-0.4
NL,2017Q2,-0.4
NL,2017Q3,-0.4
NL,2017Q4,-0.4
NL,2018Q1,-0.4
NL,2018Q2,-0.4
NL,2018Q3,-0.4
NL,2018Q4,-0.4
NL,2019Q1,-0.4
NL,2019Q2,-0.4
NL,2019Q3,-0.5
NL,2019Q4,-0.5
NL,2020Q1,-0.5
NL,2020Q2,-0.5
NL,2020Q3,-0.5
NL,2020Q4,-0.5
NL,2021Q1,-0.5
NL,2021Q2,-0.5
NL,2021Q3,-0.5
NL,2021Q4,-0.5
NL,2022Q1,-0.5
NL,2022Q2,-0.5
NL,2022Q3,0.75
NL,2022Q4,2.0
NL,2023Q1,3.0
NL,2023Q2,3.5
NL,2023Q3,4.0
NL,2023Q4,4.0
NL,2024Q1,4.0
NL,2024Q2,3.75
NL,2024Q3,3.5
NL,2024Q4,3.25
SE,2000Q1,3.5
SE,2000Q2,3.75
SE,2000Q3,3.75
SE,2000Q4,3.75
SE,2001Q1,4.0
SE,2001Q2,4.0
SE,2001Q3,3.75
SE,2001Q4,3.75
SE,2002Q1,4.25
SE,2002Q2,4.25
SE,2002Q3,4.5
SE,2002Q4,4.5
SE,2003Q1,4.0
SE,2003Q2,4.0
SE,2003Q3,3.0
SE,2003Q4,3.0
SE,2004Q1,3.0
SE,2004Q2,3.0
SE,2004Q3,2.0
SE,2004Q4,2.0
SE,2005Q1,2.0
SE,2005Q2,2.0
SE,2005Q3,1.5
SE,2005Q4,1.5
SE,2006Q1,1.5
SE,2006Q2,1.5
SE,2006Q3,2.5
SE,2006Q4,2.5
SE,2007Q1,3.0
SE,2007Q2,3.0
SE,2007Q3,3.5
SE,2007Q4,3.5
SE,2008Q1,4.0
SE,2008Q2,4.0
SE,2008Q3,4.5
SE,2008Q4,2.0
SE,2009Q1,2.0
SE,2009Q2,2.0
SE,2009Q3,0.5
SE,2009Q4,0.5
SE,2010Q1,0.5
SE,2010Q2,0.5
SE,2010Q3,0.5
SE,2010Q4,0.5
SE,2011Q1,1.5
SE,2011Q2,1.5
SE,2011Q3,2.0
SE,2011Q4,1.91
SE,2012Q1,1.5
SE,2012Q2,1.5
SE,2012Q3,1.34
SE,2012Q4,1.14
SE,2013Q1,1.0
SE,2013Q2,1.0
SE,2013Q3,1.0
SE,2013Q4,1.0
SE,2014Q1,1.0
SE,2014Q2,1.0
SE,2014Q3,1.0
SE,2014Q4,1.0
SE,2015Q1,
SE,2015Q2,
SE,2015Q3,
SE,2015Q4,
SE,2016Q1,
SE,2016Q2,
SE,2016Q3,-0.5
SE,2016Q4,-0.5
SE,2017Q1,-0.5
SE,2017Q2,-0.5
SE,2017Q3,
SE,2017Q4,
SE,2018Q1,
SE,2018Q2,
SE,2018Q3,
SE,2018Q4,
SE,2019Q1,
SE,2019Q2,
SE,2019Q3,
SE,2019Q4,
SE,2020Q1,
SE,2020Q2,
SE,2020Q3,
SE,2020Q4,
SE,2021Q1,
SE,2021Q2,
SE,2021Q3,
SE,2021Q4,
SE,2022Q1,
SE,2022Q2,
SE,2022Q3,
SE,2022Q4,
SE,2023Q1,
SE,2023Q2,
SE,2023Q3,
SE,2023Q4,
SE,2024Q1,
SE,2024Q2,
SE,2024Q3,
US,2000Q1,6.0
US,2000Q2,6.5
US,2000Q3,6.5
US,2000Q4,6.5
US,2001Q1,5.3065
US,2001Q2,3.9667
US,2001Q3,3.2667
US,2001Q4,1.75
US,2002Q1,1.75
US,2002Q2,1.75
US,2002Q3,1.75
US,2002Q4,1.25
US,2003Q1,1.25
US,2003Q2,1.0
US,2003Q3,1.0
US,2003Q4,1.0
US,2004Q1,1.0
US,2004Q2,1.25
US,2004Q3,1.75
US,2004Q4,2.25
US,2005Q1,2.75
US,2005Q2,3.25
US,2005Q3,3.75
US,2005Q4,4.25
US,2006Q1,4.75
US,2006Q2,5.25
US,2006Q3,5.25
US,2006Q4,5.25
US,2007Q1,5.25
US,2007Q2,5.25
US,2007Q3,4.75
US,2007Q4,4.25
US,2008Q1,2.25
US,2008Q2,2.0
US,2008Q3,2.0
US,2008Q4,0.125
US,2009Q1,0.125
US,2009Q2,0.125
US,2009Q3,0.125
US,2009Q4,0.125
US,2010Q1,0.125
US,2010Q2,0.125
US,2010Q3,0.125
US,2010Q4,0.125
US,2011Q1,0.125
US,2011Q2,0.125
US,2011Q3,0.125
US,2011Q4,0.125
US,2012Q1,0.125
US,2012Q2,0.125
US,2012Q3,0.125
US,2012Q4,0.125
US,2013Q1,0.125
US,2013Q2,0.125
US,2013Q3,0.125
US,2013Q4,0.125
US,2014Q1,0.125
US,2014Q2,0.125
US,2014Q3,0.125
US,2014Q4,0.125
US,2015Q1,0.125
US,2015Q2,0.125
US,2015Q3,0.125
US,2015Q4,0.375
US,2016Q1,0.375
US,2016Q2,0.375
US,2016Q3,0.375
US,2016Q4,0.625
US,2017Q1,0.875
US,2017Q2,1.125
US,2017Q3,1.125
US,2017Q4,1.375
US,2018Q1,1.625
US,2018Q2,1.875
US,2018Q3,2.125
US,2018Q4,2.375
US,2019Q1,2.375
US,2019Q2,2.375
US,2019Q3,1.875
US,2019Q4,1.625
US,2020Q1,0.125
US,2020Q2,0.125
US,2020Q3,0.125
US,2020Q4,0.125
US,2021Q1,0.125
US,2021Q2,0.125
US,2021Q3,0.125
US,2021Q4,0.125
US,2022Q1,0.375
US,2022Q2,1.625
US,2022Q3,3.125
US,2022Q4,4.375
US,2023Q1,4.875
US,2023Q2,5.125
US,2023Q3,5.375
US,2023Q4,5.375
US,2024Q1,5.375
US,2024Q2,5.375
US,2024Q3,4.875
