Country,Quarter,Interest Rate (%),Bond Yield,Difference
BR,2008Q4,13.75,15.503333333333332,1.753333333333332
BR,2009Q1,11.25,12.213333333333331,0.9633333333333312
BR,2009Q2,9.25,12.26,3.01
BR,2009Q3,8.75,12.328,3.5779999999999994
BR,2009Q4,8.75,12.758,4.007999999999999
BR,2010Q1,8.75,12.76,4.01
BR,2010Q2,10.25,,
BR,2010Q3,10.75,,
BR,2010Q4,10.75,,
BR,2011Q1,11.75,,
BR,2011Q2,12.25,,
BR,2011Q3,12.0,,
BR,2011Q4,11.0,,
BR,2012Q1,9.75,10.928,1.1780000000000008
BR,2012Q2,8.5,9.745,1.2449999999999992
BR,2012Q3,7.5,8.951666666666666,1.4516666666666662
BR,2012Q4,7.25,8.653333333333334,1.4033333333333342
BR,2013Q1,7.25,9.193333333333332,1.9433333333333316
BR,2013Q2,8.0,9.996666666666668,1.996666666666668
BR,2013Q3,9.0,11.423333333333332,2.423333333333332
BR,2013Q4,10.0,12.416666666666666,2.416666666666666
BR,2014Q1,10.75,12.78,2.0299999999999994
BR,2014Q2,11.0,12.01,1.0099999999999998
BR,2014Q3,11.0,11.805,0.8049999999999997
BR,2014Q4,11.75,12.283333333333331,0.5333333333333314
BR,2015Q1,12.75,12.628333333333336,-0.12166666666666437
BR,2015Q2,13.75,12.676666666666668,-1.0733333333333324
BR,2015Q3,14.25,14.193333333333332,-0.05666666666666842
BR,2015Q4,14.25,16.126666666666665,1.8766666666666652
BR,2016Q1,14.25,15.01,0.7599999999999998
BR,2016Q2,14.25,12.416666666666666,-1.833333333333334
BR,2016Q3,14.25,11.833333333333334,-2.416666666666666
BR,2016Q4,13.75,11.47,-2.2799999999999994
BR,2017Q1,12.25,10.19,-2.0600000000000005
BR,2017Q2,10.25,10.296666666666669,0.04666666666666863
BR,2017Q3,8.25,9.536666666666669,1.2866666666666688
BR,2017Q4,7.0,9.781666666666666,2.7816666666666663
BR,2018Q1,6.5,9.09,2.59
BR,2018Q2,6.5,10.015,3.5150000000000006
BR,2018Q3,6.5,10.853333333333332,4.353333333333332
BR,2018Q4,6.5,8.959999999999999,2.459999999999999
BR,2019Q1,6.5,8.15,1.6500000000000004
BR,2019Q2,6.5,7.873333333333334,1.373333333333334
BR,2019Q3,5.5,6.783333333333334,1.283333333333334
BR,2019Q4,4.5,6.23,1.7300000000000004
BR,2020Q1,3.75,6.293333333333333,2.543333333333333
BR,2020Q2,2.25,5.875,3.625
BR,2020Q3,2.0,5.651666666666666,3.6516666666666664
BR,2020Q4,2.0,6.186666666666667,4.186666666666667
BR,2021Q1,2.75,7.208333333333333,4.458333333333333
BR,2021Q2,4.25,7.966666666666666,3.716666666666666
BR,2021Q3,6.25,9.258333333333333,3.008333333333333
BR,2021Q4,9.25,11.538333333333334,2.288333333333334
BR,2022Q1,11.75,11.160000000000002,-0.5899999999999981
BR,2022Q2,13.25,12.515,-0.7349999999999994
BR,2022Q3,13.75,12.196666666666667,-1.5533333333333328
BR,2022Q4,13.75,12.416666666666666,-1.333333333333334
BR,2023Q1,13.75,12.783333333333331,-0.9666666666666686
BR,2023Q2,13.75,11.361666666666666,-2.3883333333333336
BR,2023Q3,12.75,10.953333333333331,-1.7966666666666686
BR,2023Q4,11.75,10.76,-0.9900000000000002
BR,2024Q1,10.75,10.473333333333334,-0.2766666666666655
BR,2024Q2,10.5,11.755,1.2550000000000008
BR,2024Q3,10.75,12.223333333333334,1.4733333333333345
CA,2000Q1,5.25,6.251333333333334,1.001333333333334
CA,2000Q2,5.75,6.125333333333334,0.37533333333333374
CA,2000Q3,5.75,5.851333333333334,0.10133333333333372
CA,2000Q4,5.75,5.578333333333333,-0.17166666666666686
CA,2001Q1,5.0,5.098333333333334,0.0983333333333336
CA,2001Q2,4.5,5.4430000000000005,0.9430000000000005
CA,2001Q3,3.5,4.917000000000001,1.4170000000000007
CA,2001Q4,2.25,4.398333333333333,2.1483333333333334
CA,2002Q1,2.0,4.895333333333333,2.8953333333333333
CA,2002Q2,2.5,4.887666666666667,2.387666666666667
CA,2002Q3,2.75,4.295,1.545
CA,2002Q4,2.75,4.173666666666667,1.4236666666666666
CA,2003Q1,3.0,4.3133333333333335,1.3133333333333335
CA,2003Q2,3.25,3.816,0.5659999999999998
CA,2003Q3,2.75,3.830333333333334,1.0803333333333338
CA,2003Q4,2.75,4.027333333333334,1.2773333333333339
CA,2004Q1,2.25,3.525,1.275
CA,2004Q2,2.0,3.981,1.9809999999999999
CA,2004Q3,2.25,4.031666666666666,1.7816666666666663
CA,2004Q4,2.5,3.814333333333334,1.3143333333333338
CA,2005Q1,2.5,3.6646666666666663,1.1646666666666663
CA,2005Q2,2.5,3.3586666666666667,0.8586666666666667
CA,2005Q3,2.75,3.4586666666666663,0.7086666666666663
CA,2005Q4,3.25,3.880333333333333,0.6303333333333332
CA,2006Q1,3.75,4.1066666666666665,0.35666666666666647
CA,2006Q2,4.25,4.349333333333333,0.09933333333333305
CA,2006Q3,4.25,4.042666666666666,-0.2073333333333336
CA,2006Q4,4.25,3.943,-0.30699999999999994
CA,2007Q1,4.25,4.017666666666667,-0.23233333333333306
CA,2007Q2,4.25,4.44,0.1900000000000004
CA,2007Q3,4.5,4.390333333333333,-0.10966666666666658
CA,2007Q4,4.25,3.967,-0.2829999999999999
CA,2008Q1,3.5,3.1809999999999996,-0.3190000000000004
CA,2008Q2,3.0,3.2836666666666665,0.2836666666666665
CA,2008Q3,3.0,3.1476666666666664,0.1476666666666664
CA,2008Q4,1.5,2.314333333333334,0.8143333333333338
CA,2009Q1,0.5,1.9713333333333332,1.4713333333333332
CA,2009Q2,0.25,2.311,2.061
CA,2009Q3,0.25,2.5980000000000003,2.3480000000000003
CA,2009Q4,0.25,2.608,2.358
CA,2010Q1,0.25,2.6199999999999997,2.3699999999999997
CA,2010Q2,0.5,2.687666666666667,2.187666666666667
CA,2010Q3,1.0,2.114333333333333,1.1143333333333332
CA,2010Q4,1.0,2.246,1.246
CA,2011Q1,1.0,2.638666666666667,1.638666666666667
CA,2011Q2,1.0,2.424,1.424
CA,2011Q3,1.0,1.7086666666666666,0.7086666666666666
CA,2011Q4,1.0,1.415,0.41500000000000004
CA,2012Q1,1.0,1.4213333333333331,0.4213333333333331
CA,2012Q2,1.0,1.366,0.3660000000000001
CA,2012Q3,1.0,1.3113333333333337,0.3113333333333337
CA,2012Q4,1.0,1.3383333333333332,0.33833333333333315
CA,2013Q1,1.0,1.3746666666666665,0.3746666666666665
CA,2013Q2,1.0,1.484,0.484
CA,2013Q3,1.0,1.852,0.8520000000000001
CA,2013Q4,1.0,1.8036666666666668,0.8036666666666668
CA,2014Q1,1.0,1.6290000000000002,0.6290000000000002
CA,2014Q2,1.0,1.5776666666666666,0.5776666666666666
CA,2014Q3,1.0,1.556,0.556
CA,2014Q4,1.0,1.4166666666666667,0.41666666666666674
CA,2015Q1,0.75,0.6993333333333333,-0.05066666666666675
CA,2015Q2,0.75,0.8929999999999999,0.1429999999999999
CA,2015Q3,0.5,0.782,0.28200000000000003
CA,2015Q4,0.5,0.842,0.34199999999999997
CA,2016Q1,0.5,0.674,0.17400000000000004
CA,2016Q2,0.5,0.7313333333333333,0.23133333333333328
CA,2016Q3,0.5,0.628,0.128
CA,2016Q4,0.5,0.9406666666666668,0.44066666666666676
CA,2017Q1,0.5,1.1166666666666667,0.6166666666666667
CA,2017Q2,0.5,1.116,0.6160000000000001
CA,2017Q3,1.0,1.646,0.6459999999999999
CA,2017Q4,1.0,1.7063333333333333,0.7063333333333333
CA,2018Q1,1.25,2.031,0.7810000000000001
CA,2018Q2,1.25,2.1023333333333336,0.8523333333333336
CA,2018Q3,1.5,2.242,0.742
CA,2018Q4,1.75,2.173666666666666,0.4236666666666662
CA,2019Q1,1.75,1.708,-0.04200000000000004
CA,2019Q2,1.75,1.434,-0.31600000000000006
CA,2019Q3,1.75,1.3453333333333333,-0.40466666666666673
CA,2019Q4,1.75,1.5316666666666665,-0.2183333333333335
CA,2020Q1,0.25,0.9806666666666668,0.7306666666666668
CA,2020Q2,0.25,0.3926666666666666,0.1426666666666666
CA,2020Q3,0.25,0.36,0.10999999999999999
